epoch,Acc,Loss,Error,LR,model
13,0.7405,0.5228,,0.01,resnet-32
14,0.7424,0.5228,,0.01,resnet-32
15,0.7415,0.5192,,0.01,resnet-32
16,0.7473,0.5181,,0.01,resnet-32
17,0.7401,0.5199,,0.01,resnet-32
18,0.7554,0.503,,0.01,resnet-32
19,0.7479,0.5136,,0.01,resnet-32
20,0.752,0.5094,,0.01,resnet-32
21,0.7501,0.5172,,0.01,resnet-32
22,0.7514,0.5075,,0.01,resnet-32
23,0.752,0.5075,,0.01,resnet-32
0,0.6543,0.6819,,0.001,resnet-32
1,0.7482,0.5254,,0.001,resnet-32
2,0.7711,0.4873,,0.001,resnet-32
3,0.7945,0.4608,,0.001,resnet-32
4,0.7938,0.4475,,0.001,resnet-32
5,0.8112,0.4259,,0.001,resnet-32
6,0.8151,0.4192,,0.001,resnet-32
7,0.8338,0.3776,,0.001,resnet-32
8,0.8414,0.3702,,0.001,resnet-32
9,0.8392,0.3693,,0.001,resnet-32
10,0.8431,0.3627,,0.001,resnet-32
11,0.842,0.3638,,0.001,resnet-32
12,0.843,0.3609,,0.001,resnet-32
13,0.8482,0.3503,,0.001,resnet-32
14,0.8411,0.3581,,0.001,resnet-32
15,0.8446,0.3542,,0.001,resnet-32
16,0.8511,0.3439,,0.001,resnet-32
17,0.8438,0.3617,,0.001,resnet-32
18,0.8458,0.3569,,0.001,resnet-32
19,0.8454,0.3528,,0.001,resnet-32
20,0.8455,0.3499,,0.001,resnet-32
21,0.8519,0.3473,,0.001,resnet-32
22,0.852,0.3433,,0.001,resnet-32
23,0.8474,0.352,,0.001,resnet-32
0,0.6526,0.6767,,0.0009,resnet-32
1,0.7469,0.5299,,0.0009,resnet-32
2,0.7826,0.4756,,0.0009,resnet-32
3,0.7928,0.4589,,0.0009,resnet-32
4,0.8051,0.4327,,0.0009,resnet-32
5,0.8133,0.4208,,0.0009,resnet-32
6,0.8148,0.415,,0.0009,resnet-32
7,0.8379,0.3729,,0.0009,resnet-32
8,0.8422,0.3621,,0.0009,resnet-32
9,0.8459,0.3524,,0.0009,resnet-32
10,0.8399,0.3602,,0.0009,resnet-32
11,0.8496,0.3542,,0.0009,resnet-32
12,0.8466,0.3528,,0.0009,resnet-32
13,0.8532,0.3414,,0.0009,resnet-32
14,0.8564,0.3406,,0.0009,resnet-32
15,0.8534,0.3395,,0.0009,resnet-32
16,0.8497,0.3419,,0.0009,resnet-32
17,0.8517,0.3403,,0.0009,resnet-32
18,0.8489,0.3443,,0.0009,resnet-32
19,0.8527,0.3431,,0.0009,resnet-32
20,0.8572,0.3414,,0.0009,resnet-32
21,0.8529,0.3398,,0.0009,resnet-32
22,0.854,0.3373,,0.0009,resnet-32
23,0.8545,0.3362,,0.0009,resnet-32
0,0.7107,0.5572,,0.0008,resnet-32
1,0.7956,0.4382,,0.0008,resnet-32
2,0.8147,0.4071,,0.0008,resnet-32
3,0.8274,0.3775,,0.0008,resnet-32
4,0.8383,0.3629,,0.0008,resnet-32
5,0.841,0.3656,,0.0008,resnet-32
